name,email,phone,leadType,location,language
john,johndoe@example.com,9876543210,hot,Delhi,English
jane,janesmith@example.com,9123456789,warm,Mumbai,Hindi
alex,alexj@example.com,9988776655,cold,Bangalore,English
priya,priya.patel@example.com,8877665544,hot,Chennai,Tamil
sunil,sunil.kumar@example.com,7766554433,warm,Hyderabad,Telugu
hjohn,johndoe@example.com,9876543210,hot,Delhi,English
jane,janesmith@example.com,9123456789,warm,Mumbai,Hindi
alex,alexj@example.com,9988776655,cold,Bangalore,English
priya,priya.patel@example.com,8877665544,hot,Chennai,Tamil
sunil,sunil.kumar@example.com,7766554433,warm,Hyderabad,Telugu
john,johndoe@example.com,9876543210,hot,Delhi,English
jane,janesmith@example.com,9123456789,warm,Mumbai,Hindi
alex,alexj@example.com,9988776655,cold,Bangalore,English
priya,priya.patel@example.com,8877665544,hot,Chennai,Tamil
sunil,sunil.kumar@example.com,7766554433,warm,Hyderabad,Telugu
